Category,Sub Category,Title,Description,Quantity,Type,Price,Shipping Profile,Offerable,Hazmat,Condition,Cost Per Item,SKU,Image URL 1,Image URL 2,Image URL 3,Image URL 4,Image URL 5,Image URL 6,Image URL 7,Image URL 8
Video Games,Retro Games,Pac-Man — Atari 400/800 8-Bit Computer Cartridge (Loose),"The most famous quarter-eater of the arcade age, brought home to the Atari 8-bit. This is Atari's own CXL4022 cartridge (1982) — the computer-line version rather than the ubiquitous 2600 cart, licensed from Bally Midway and Namco. A loose cartridge from a single-owner estate of Atari software; used, honest, and untested, sold as found. Loose cartridge (no box/manual); Atari 8-bit COMPUTER version, NOT the 2600 cart. Used and untested — sold as-is.",1,Buy it Now,8,4-7 oz,TRUE,Not Hazmat,Loose,,RG-0036,https://richmondgeneral.github.io/items/RG-0036/hero.png,,,,,,,
Video Games,Retro Games,Centipede — Atari 400/800 8-Bit Computer Cartridge (Loose),"Atari took its own arcade hit — the spider-and-mushroom garden shooter — and pressed it for the home computer as CXL4020 (1982). The 8-bit computer cartridge, joystick in hand. Loose cartridge (no box/manual); Atari 8-bit COMPUTER version, NOT the 2600 cart. Used and untested — sold as-is.",2,Buy it Now,8,4-7 oz,TRUE,Not Hazmat,Loose,,RG-0037,https://richmondgeneral.github.io/items/RG-0037/hero.png,,,,,,,
Video Games,Retro Games,Qix — Atari 400/800 8-Bit Computer Cartridge (Loose),"One of the stranger and more beautiful arcade ideas — claim the field while the Qix coils and lashes. Taito's puzzler on Atari's CXL4027 (1982), among the more sought-after of the 8-bit computer carts. Loose, used, untested; from a single-owner estate. Loose cartridge (no box/manual); Atari 8-bit COMPUTER version, NOT the 2600 cart. Used and untested — sold as-is.",1,Buy it Now,10,4-7 oz,TRUE,Not Hazmat,Loose,,RG-0038,https://richmondgeneral.github.io/items/RG-0038/hero.png,,,,,,,
Video Games,Retro Games,Super Breakout — Atari 400/800 8-Bit Computer Cartridge (Loose),"Before there was much of anything, there was the wall and the ball. Super Breakout (CXL4006) shipped paddle-in-hand with many an Atari computer — this is that cartridge, loose and honest. Uses paddle controllers. Loose cartridge (no box/manual); Atari 8-bit COMPUTER version, NOT the 2600 cart. Used and untested — sold as-is.",1,Buy it Now,13,4-7 oz,TRUE,Not Hazmat,Loose,,RG-0039,https://richmondgeneral.github.io/items/RG-0039/hero.png,,,,,,,
Video Games,Retro Games,Atari Logo — Atari 400/800 8-Bit Computer Cartridge (Loose),"Not a game but a language — the turtle that taught a generation to think in code. Atari Logo (RX8032, 1983), developed by Logo Computer Systems of Montreal, runs from the console keyboard. A niche and quietly collected cartridge. Loose, used, untested; single-owner estate. Loose cartridge (no box/manual); Atari 8-bit COMPUTER version, NOT the 2600 cart. Used and untested — sold as-is.",1,Buy it Now,18,4-7 oz,TRUE,Not Hazmat,Loose,,RG-0040,https://richmondgeneral.github.io/items/RG-0040/hero.png,,,,,,,
Video Games,Retro Games,Typo Attack — Atari 400/800 8-Bit Computer Cartridge (Loose),"Learn to type, arcade-style, while invaders made of letters rain down. Atari's Typo Attack (RX8057, 1982) by David Buehler, on the silver Atari Home Computer label. Uncommon educational fare. Loose, used, untested; from a single-owner estate. Loose cartridge (no box/manual); Atari 8-bit COMPUTER version, NOT the 2600 cart. Used and untested — sold as-is.",1,Buy it Now,12,4-7 oz,TRUE,Not Hazmat,Loose,,RG-0041,https://richmondgeneral.github.io/items/RG-0041/hero.png,,,,,,,
Video Games,Retro Games,KoalaPainter — Atari 400/800 8-Bit Computer Cartridge (Loose),"The software that gave the KoalaPad its voice — turn the tablet and the Atari 8-bit into a sketchpad. KoalaPainter by Koala Technologies (00315-001, 1983), cartridge only. A natural companion to the KoalaPad hardware. Loose, used, untested; single-owner estate. Loose cartridge (no box/manual); Atari 8-bit COMPUTER version, NOT the 2600 cart. Used and untested — sold as-is.",1,Buy it Now,18,4-7 oz,TRUE,Not Hazmat,Loose,,RG-0042,https://richmondgeneral.github.io/items/RG-0042/hero.png,,,,,,,
Video Games,Retro Games,Star Wars: The Arcade Game — Atari 400/800 8-Bit Computer Cartridge (Loose),"The wireframe trench run that emptied pockets in 1983, brought home to the computer. Star Wars: The Arcade Game (Parker Brothers, Atari 8-bit) on its silver label — one of the more desirable Atari computer titles. Loose, used, untested; from a single-owner estate collection. Loose cartridge (no box/manual); Atari 8-bit COMPUTER version, NOT the 2600 cart. Used and untested — sold as-is.",1,Buy it Now,28,4-7 oz,TRUE,Not Hazmat,Loose,,RG-0043,https://richmondgeneral.github.io/items/RG-0043/hero.png,,,,,,,
Video Games,Retro Games,Donkey Kong — Atari 400/800 8-Bit Computer Cartridge (Loose),"Nintendo's first great climb — barrels, girders, and a gorilla — licensed to Atari for the 8-bit computers (RX8031, 1983). A strong-demand cartridge among collectors. Loose, used, untested; single-owner estate. Loose cartridge (no box/manual); Atari 8-bit COMPUTER version, NOT the 2600 cart. Used and untested — sold as-is.",1,Buy it Now,17,4-7 oz,TRUE,Not Hazmat,Loose,,RG-0044,https://richmondgeneral.github.io/items/RG-0044/hero.png,,,,,,,
Video Games,Retro Games,E.T. Phone Home! — Atari 400/800 8-Bit Computer Cartridge (Loose),"The computer-line E.T., distinct from its infamous 2600 cousin — E.T. Phone Home! on Atari's RX8030 (1983). The label has gone dark and worn with age, and it is priced accordingly. Loose, used, untested; from a single-owner estate. Loose cartridge (no box/manual); Atari 8-bit COMPUTER version, NOT the 2600 cart. Used and untested — sold as-is.",1,Buy it Now,10,4-7 oz,TRUE,Not Hazmat,Loose,,RG-0045,https://richmondgeneral.github.io/items/RG-0045/hero.png,,,,,,,
